,Country,Year,Cases,Continent,Population
475,Solomon Islands,2006,231,Oceania,"6,82,500"
476,Spain,2008,11558,Europe,"4,69,34,632"
477,Spain,2009,10684,Europe,"4,69,34,632"
478,Spain,2011,9860,Europe,"4,69,34,632"
479,Spain,2010,9958,Europe,"4,69,34,632"
480,Spain,2007,10348,Europe,"4,69,34,632"
481,Sweden,2005,11711,Europe,"1,03,65,705"
482,Sweden,2004,10419,Europe,"1,03,65,705"
483,Sweden,2009,15693,Europe,"1,03,65,705"
484,Sweden,2006,12147,Europe,"1,03,65,705"
485,Sweden,2007,12563,Europe,"1,03,65,705"
486,Sweden,2008,14342,Europe,"1,03,65,705"
487,Sweden,2010,17167,Europe,"1,03,65,705"
488,Sweden,2003,10142,Europe,"1,03,65,705"
489,Sweden,2011,17077,Europe,"1,03,65,705"
490,Switzerland,2009,6648,Europe,"85,86,550"
491,Switzerland,2010,6321,Europe,"85,86,550"
492,Switzerland,2011,6121,Europe,"85,86,550"
493,Tajikistan,2006,169,Asia,"91,27,000"
494,Tajikistan,2007,171,Asia,"91,27,000"
495,Tajikistan,2010,197,Asia,"91,27,000"
496,Tajikistan,2011,201,Asia,"91,27,000"
497,Tajikistan,2008,182,Asia,"91,27,000"
498,Tajikistan,2009,168,Asia,"91,27,000"
499,Trinidad and Tobago,2004,633,Americas,"13,63,985"
500,Trinidad and Tobago,2005,803,Americas,"13,63,985"
501,Trinidad and Tobago,2006,803,Americas,"13,63,985"
502,Trinidad and Tobago,2007,901,Americas,"13,63,985"
503,Trinidad and Tobago,2008,779,Americas,"13,63,985"
504,Trinidad and Tobago,2009,804,Americas,"13,63,985"
505,Trinidad and Tobago,2010,767,Americas,"13,63,985"
506,Trinidad and Tobago,2011,709,Americas,"13,63,985"
507,Turkey,2003,2858,Asia,"8,31,54,997"
508,Turkey,2004,2893,Asia,"8,31,54,997"
509,Turkey,2005,3020,Asia,"8,31,54,997"
510,Turkey,2006,3300,Asia,"8,31,54,997"
511,Turkey,2007,2056,Asia,"8,31,54,997"
512,Turkey,2008,1850,Asia,"8,31,54,997"
513,Uganda,2005,14101,Africa,"4,00,06,700"
514,Uganda,2006,17046,Africa,"4,00,06,700"
515,Uganda,2007,32305,Africa,"4,00,06,700"
516,Uganda,2008,10365,Africa,"4,00,06,700"
517,Uganda,2009,8646,Africa,"4,00,06,700"
518,Uganda,2010,8645,Africa,"4,00,06,700"
519,Ukraine,2003,2180,Europe,"4,19,02,416"
520,Ukraine,2004,1988,Europe,"4,19,02,416"
521,Ukraine,2005,1929,Europe,"4,19,02,416"
522,Ukraine,2006,2114,Europe,"4,19,02,416"
523,Ukraine,2007,1898,Europe,"4,19,02,416"
524,Ukraine,2008,1995,Europe,"4,19,02,416"
525,Ukraine,2009,1698,Europe,"4,19,02,416"
526,Ukraine,2010,1348,Europe,"4,19,02,416"
527,Yemen,2005,0,Asia,"2,89,15,284"
528,Yemen,2006,71,Asia,"2,89,15,284"
529,Yemen,2007,54,Asia,"2,89,15,284"
530,Yemen,2008,81,Asia,"2,89,15,284"
531,Yemen,2009,72,Asia,"2,89,15,284"
